run,experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,4,fus,"(5.0,10.0]",0.6054421768707483,0.14285714285714285,0.4827837731898134,7,63,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,4,fus,"[0.0,5.0]",0.5615079365079365,0.125,0.4827837731898134,16,63,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,5,fus,"(10.0,15.0]",0.30666666666666664,0.0,0.691071421964268,2,75,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,5,fus,"(5.0,10.0]",0.7,0.25,0.691071421964268,4,75,0.1
audio_dim_reduction_experiments,early_fusion_coreaudio_catboost,5,fus,"[0.0,5.0]",0.6186666666666667,0.3,0.691071421964268,10,75,0.1
catboost_cfg_sweep,audio_catboost_cfg1,1,aud,"(10.0,15.0]",0.40435835351089594,0.14285714285714285,0.5341044522111053,7,59,0.1
catboost_cfg_sweep,audio_catboost_cfg1,1,aud,"(5.0,10.0]",0.5480225988700564,0.1111111111111111,0.5341044522111053,9,59,0.1
catboost_cfg_sweep,audio_catboost_cfg1,1,aud,"[0.0,5.0]",0.6207627118644068,0.25,0.5341044522111053,16,59,0.1
catboost_cfg_sweep,audio_catboost_cfg1,2,aud,"(10.0,15.0]",0.5266666666666666,0.2,0.37678713146165277,10,60,0.1
catboost_cfg_sweep,audio_catboost_cfg1,2,aud,"(5.0,10.0]",0.5966666666666667,0.2,0.37678713146165277,5,60,0.1
catboost_cfg_sweep,audio_catboost_cfg1,2,aud,"[0.0,5.0]",0.4322916666666667,0.1875,0.37678713146165277,16,60,0.1
catboost_cfg_sweep,audio_catboost_cfg1,3,aud,"(10.0,15.0]",0.7910447761194029,0.3333333333333333,0.6077073627641177,3,67,0.1
catboost_cfg_sweep,audio_catboost_cfg1,3,aud,"(5.0,10.0]",0.5223880597014925,0.2857142857142857,0.6077073627641177,7,67,0.1
catboost_cfg_sweep,audio_catboost_cfg1,3,aud,"[0.0,5.0]",0.570362473347548,0.2857142857142857,0.6077073627641177,14,67,0.1
catboost_cfg_sweep,audio_catboost_cfg1,4,aud,"(10.0,15.0]",0.2920634920634921,0.0,0.43524663809713204,5,63,0.1
catboost_cfg_sweep,audio_catboost_cfg1,4,aud,"(5.0,10.0]",0.5736961451247166,0.2857142857142857,0.43524663809713204,7,63,0.1
catboost_cfg_sweep,audio_catboost_cfg1,4,aud,"[0.0,5.0]",0.6081349206349206,0.375,0.43524663809713204,16,63,0.1
catboost_cfg_sweep,audio_catboost_cfg1,5,aud,"(10.0,15.0]",0.44000000000000006,0.0,0.899321029093617,2,75,0.1
catboost_cfg_sweep,audio_catboost_cfg1,5,aud,"(5.0,10.0]",0.6166666666666667,0.0,0.899321029093617,4,75,0.1
catboost_cfg_sweep,audio_catboost_cfg1,5,aud,"[0.0,5.0]",0.5626666666666666,0.0,0.899321029093617,10,75,0.1
catboost_cfg_sweep,audio_catboost_cfg2,1,aud,"(10.0,15.0]",0.4019370460048426,0.14285714285714285,0.3631171931547058,7,59,0.1
