experiment_id,fold,head,eval_level,thr,auc,f1,sens,spec,brier,n_pos,n_neg,n_test,threshold_policy,target_sensitivity
early_fusion_lr,3,fus,speaker,0.20945395331667113,0.6799999999999999,0.6181818181818182,0.9444444444444444,0.2,0.21946270675840077,18,25,43,target_sens,0.8
late_fusion_lr,3,txt,clip,0.2590516988986043,0.5688657407407407,0.40476190476190477,0.6296296296296297,0.375,0.21016041035728478,27,64,91,target_sens,0.8
late_fusion_lr,3,txt,speaker,0.2590516988986043,0.5844444444444444,0.5777777777777777,0.7222222222222222,0.44,0.252704915199028,18,25,43,target_sens,0.8
late_fusion_lr,3,aud,clip,0.20899199338583607,0.6857638888888888,0.4489795918367347,0.8148148148148148,0.234375,0.18850499829848075,27,64,91,target_sens,0.8
late_fusion_lr,3,aud,speaker,0.20899199338583607,0.6977777777777778,0.5614035087719298,0.8888888888888888,0.08,0.22581099879026353,18,25,43,target_sens,0.8
late_fusion_lr,3,fus,clip,0.2679853629506373,0.5787037037037037,0.4186046511627908,0.6666666666666666,0.359375,0.20808483137406633,27,64,91,target_sens,0.8
late_fusion_lr,3,fus,speaker,0.2679853629506373,0.6066666666666667,0.6086956521739131,0.7777777777777778,0.44,0.25287298039492684,18,25,43,target_sens,0.8
text_lr,4,txt,clip,0.26522609338835473,0.5952662721893491,0.4285714285714286,0.6923076923076923,0.38461538461538464,0.20159994094913933,26,65,91,target_sens,0.8
text_lr,4,txt,speaker,0.26522609338835473,0.5740740740740742,0.5652173913043479,0.8125,0.37037037037037035,0.23714884881646336,16,27,43,target_sens,0.8
text_svm_cal,4,txt,clip,0.2571065028390792,0.5994082840236686,0.45454545454545453,0.7692307692307693,0.35384615384615387,0.20132926352607292,26,65,91,target_sens,0.8
text_svm_cal,4,txt,speaker,0.2571065028390792,0.5972222222222222,0.5306122448979591,0.8125,0.25925925925925924,0.23747340656434088,16,27,43,target_sens,0.8
audio_lr,4,aud,clip,0.1541465318327261,0.5426035502958579,0.45652173913043476,0.8076923076923077,0.3076923076923077,0.22515311728502677,26,65,91,target_sens,0.8
audio_lr,4,aud,speaker,0.1541465318327261,0.5277777777777778,0.5,0.8125,0.14814814814814814,0.24182150640980382,16,27,43,target_sens,0.8
audio_core_lr,4,aud,clip,0.206852045359908,0.48757396449704143,0.38,0.7307692307692307,0.15384615384615385,0.21521773412946235,26,65,91,target_sens,0.8
audio_core_lr,4,aud,speaker,0.206852045359908,0.47916666666666663,0.4528301886792453,0.75,0.07407407407407407,0.2499032390899756,16,27,43,target_sens,0.8
early_fusion_lr,4,fus,clip,0.2194470502929284,0.5520710059171599,0.43010752688172044,0.7692307692307693,0.27692307692307694,0.20524527915752902,26,65,91,target_sens,0.8
early_fusion_lr,4,fus,speaker,0.2194470502929284,0.5810185185185185,0.5416666666666666,0.8125,0.2962962962962963,0.2307158280442415,16,27,43,target_sens,0.8
late_fusion_lr,4,txt,clip,0.26522609338835473,0.5952662721893491,0.4285714285714286,0.6923076923076923,0.38461538461538464,0.20159994094913933,26,65,91,target_sens,0.8
late_fusion_lr,4,txt,speaker,0.26522609338835473,0.5740740740740742,0.5652173913043479,0.8125,0.37037037037037035,0.23714884881646336,16,27,43,target_sens,0.8
late_fusion_lr,4,aud,clip,0.1541465318327261,0.5426035502958579,0.45652173913043476,0.8076923076923077,0.3076923076923077,0.22515311728502677,26,65,91,target_sens,0.8
late_fusion_lr,4,aud,speaker,0.1541465318327261,0.5277777777777778,0.5,0.8125,0.14814814814814814,0.24182150640980382,16,27,43,target_sens,0.8
late_fusion_lr,4,fus,clip,0.2620758266868459,0.5887573964497042,0.4444444444444445,0.7692307692307693,0.3230769230769231,0.20047305862160156,26,65,91,target_sens,0.8
late_fusion_lr,4,fus,speaker,0.2620758266868459,0.5925925925925926,0.5098039215686275,0.8125,0.18518518518518517,0.23563775639072235,16,27,43,target_sens,0.8
text_lr,5,txt,clip,0.260281791504628,0.5224852071005918,0.4772727272727273,0.8076923076923077,0.36923076923076925,0.20562366459432305,26,65,91,target_sens,0.8
text_lr,5,txt,speaker,0.260281791504628,0.47494553376906323,0.5,0.7058823529411765,0.2962962962962963,0.2453979485277829,17,27,44,target_sens,0.8
text_svm_cal,5,txt,clip,0.25502917113234486,0.49940828402366866,0.44943820224719094,0.7692307692307693,0.3384615384615385,0.20713540310868092,26,65,91,target_sens,0.8
text_svm_cal,5,txt,speaker,0.25502917113234486,0.46187363834422657,0.5098039215686274,0.7647058823529411,0.2222222222222222,0.24730078381639303,17,27,44,target_sens,0.8
audio_lr,5,aud,clip,0.03147240675094474,0.6420118343195267,0.43396226415094336,0.8846153846153846,0.12307692307692308,0.21328443588359336,26,65,91,target_sens,0.8
audio_lr,5,aud,speaker,0.03147240675094474,0.6840958605664489,0.5517241379310345,0.9411764705882353,0.07407407407407407,0.2109192054264482,17,27,44,target_sens,0.8
audio_core_lr,5,aud,clip,0.18733133451739403,0.572189349112426,0.5048543689320388,1.0,0.2153846153846154,0.201758018485748,26,65,91,target_sens,0.8
audio_core_lr,5,aud,speaker,0.18733133451739403,0.5599128540305012,0.5862068965517241,1.0,0.1111111111111111,0.24314562977325507,17,27,44,target_sens,0.8
early_fusion_lr,5,fus,clip,0.036158480719867755,0.6325443786982249,0.46,0.8846153846153846,0.2153846153846154,0.2205423339002894,26,65,91,target_sens,0.8
early_fusion_lr,5,fus,speaker,0.036158480719867755,0.662309368191721,0.5614035087719298,0.9411764705882353,0.1111111111111111,0.22038004248326407,17,27,44,target_sens,0.8
late_fusion_lr,5,txt,clip,0.260281791504628,0.5224852071005918,0.4772727272727273,0.8076923076923077,0.36923076923076925,0.20562366459432305,26,65,91,target_sens,0.8
late_fusion_lr,5,txt,speaker,0.260281791504628,0.47494553376906323,0.5,0.7058823529411765,0.2962962962962963,0.2453979485277829,17,27,44,target_sens,0.8
late_fusion_lr,5,aud,clip,0.03147240675094474,0.6420118343195267,0.43396226415094336,0.8846153846153846,0.12307692307692308,0.21328443588359336,26,65,91,target_sens,0.8
late_fusion_lr,5,aud,speaker,0.03147240675094474,0.6840958605664489,0.5517241379310345,0.9411764705882353,0.07407407407407407,0.2109192054264482,17,27,44,target_sens,0.8
late_fusion_lr,5,fus,clip,0.2610168822613291,0.5834319526627219,0.4086021505376343,0.7307692307692307,0.26153846153846155,0.20022674629220413,26,65,91,target_sens,0.8
late_fusion_lr,5,fus,speaker,0.2610168822613291,0.6143790849673202,0.5199999999999999,0.7647058823529411,0.25925925925925924,0.23888674519650488,17,27,44,target_sens,0.8
